User_Query,Intent_Class
order a hibiscus lemongrass tisane,order_intent
can i order hibiscus lemongrass tisane,order_intent
give me a hibiscus lemongrass tisane,order_intent
do you have the zen plum,menu_inquiry
is the zen plum available,menu_inquiry
do you serve the zen plum,menu_inquiry
can I get a the zen plum,menu_inquiry
how much is the zen plum,price_inquiry
price of the zen plum,price_inquiry
what does the zen plum cost,price_inquiry
the zen plum price,price_inquiry
i want a the zen plum,order_intent
order a the zen plum,order_intent
can i order the zen plum,order_intent
give me a the zen plum,order_intent
do you have cassava gold,menu_inquiry
is cassava gold available,menu_inquiry
do you serve cassava gold,menu_inquiry
can I get a cassava gold,menu_inquiry
how much is cassava gold,price_inquiry
price of cassava gold,price_inquiry
what does cassava gold cost,price_inquiry
cassava gold price,price_inquiry
i want a cassava gold,order_intent
order a cassava gold,order_intent
can i order cassava gold,order_intent
give me a cassava gold,order_intent
do you have sografik cassava,menu_inquiry
is sografik cassava available,menu_inquiry
do you serve sografik cassava,menu_inquiry
can I get a sografik cassava,menu_inquiry
how much is sografik cassava,price_inquiry
price of sografik cassava,price_inquiry
what does sografik cassava cost,price_inquiry
sografik cassava price,price_inquiry
i want a sografik cassava,order_intent
order a sografik cassava,order_intent
can i order sografik cassava,order_intent
give me a sografik cassava,order_intent
show top 10 clients,top_clients
who are the top customers,top_clients
best customers by spending,top_clients
top clients this month,top_clients
who spends the most,top_clients
highest spending customers,top_clients
list top 10 buyers,top_clients
top customers today,top_clients
what is today's revenue,revenue_query
total sales today,revenue_query
how much did we earn today,revenue_query
show total revenue,revenue_query
total earnings this week,revenue_query
how much money today,revenue_query
revenue report,revenue_query
how many orders today,order_stats
total orders placed,order_stats
show recent orders,order_stats
last order placed,order_stats
how many orders this week,order_stats
show all orders,order_stats
number of orders,order_stats
what is the best seller,best_seller
most popular item,best_seller
what do customers order most,best_seller
top selling item,best_seller
most ordered drink,best_seller
which item sells the most,best_seller
hi,greeting
hello,greeting
hey there,greeting
namaste,greeting
good morning,greeting
good evening,greeting
howdy,greeting
bye,goodbye
goodbye,goodbye
see you,goodbye
thanks bye,goodbye
take care,goodbye
what time do you open,hours_location
when do you close,hours_location
where is corridor seven,hours_location
what are your timings,hours_location
location of cafe,hours_location
address of c7,hours_location
are you open now,hours_location
opening hours,hours_location
